Hour,Date,HourlyDryBulbTemperatureAmerillo,HourlyRelativeHumidityAmerillo,HourlyWindSpeedAmerillo,HourlyDryBulbTemperatureAustin,HourlyRelativeHumidityAustin,HourlyWindSpeedAustin,HourlyDryBulbTemperatureDallas,HourlyRelativeHumidityDallas,HourlyWindSpeedDallas,HourlyDryBulbTemperatureElPaso,HourlyRelativeHumidityElPaso,HourlyWindSpeedElPaso,HourlyDryBulbTemperatureHoustan,HourlyRelativeHumidityHoustan,HourlyWindSpeedHoustan,HourlyDryBulbTemperatureLaredo,HourlyRelativeHumidityLaredo,HourlyWindSpeedLaredo,HourlyDryBulbTemperatureOdessa,HourlyRelativeHumidityOdessa,HourlyWindSpeedOdessa,HourlyDryBulbTemperatureSanAnto,HourlyRelativeHumiditySanAnto,HourlyWindSpeedSanAnto,HourlyDryBulbTemperatureSweet,HourlyRelativeHumiditySweet,HourlyWindSpeedSweet
1,2/4/2019,60,38,26,67,87,6,64,90,16,50,63,5,67,100,6,,,,61,41,13,,,,,,
2,2/4/2019,55,47,22,66,96,10,62,90,14,49,64,3,66,100,5,65,93,7,57,53,10,65,97,9,58,69,15
3,2/4/2019,53,51,18,67,93,10,61,93,13,47,69,5,66,100,0,65,97,9,56,75,10,65,97,5,57,86,13
4,2/4/2019,55,45,22,67,93,10,60,93,10,49,69,5,67,100,0,67,97,9,50,86,3,65,97,6,56,100,10
5,2/4/2019,54,45,16,67,93,7,59,96,8,43,74,7,67,100,0,67,97,8,52,86,7,65,97,7,55,100,13
6,2/4/2019,48,56,9,66,90,3,59,93,11,46,73,7,66,100,3,68,93,7,48,86,6,65,97,6,56,100,13
7,2/4/2019,47,59,7,67,93,7,59,93,13,46,77,0,67,100,5,67,97,6,52,77,11,65,97,6,55,100,14
8,2/4/2019,47,59,10,67,93,6,59,96,11,51,66,10,67,100,5,67,97,6,48,80,9,66,93,7,56,100,13
9,2/4/2019,51,52,6,68,90,6,62,90,16,55,59,8,68,100,3,67,97,0,54,62,9,66,96,7,61,78,10
10,2/4/2019,57,42,8,69,90,10,67,76,15,61,44,8,69,100,3,69,93,0,63,45,8,67,91,8,65,58,10
11,2/4/2019,62,35,10,70,87,6,72,61,11,65,36,13,72,91,6,70,90,5,67,36,16,67,93,7,68,47,10
12,2/4/2019,65,31,8,72,76,3,75,55,7,69,30,9,74,85,9,72,84,6,71,31,13,67,93,7,69,39,8
13,2/4/2019,69,25,17,74,74,9,77,52,7,70,23,15,76,79,7,73,81,3,73,30,14,68,90,3,73,30,8
14,2/4/2019,71,23,18,75,71,9,80,44,8,71,23,11,76,77,3,74,79,6,76,23,20,69,87,0,75,27,13
15,2/4/2019,73,19,18,74,74,9,78,52,15,72,23,15,77,74,6,79,67,7,78,22,16,71,79,6,75,26,13
16,2/4/2019,72,21,22,75,71,8,78,47,13,72,23,9,76,74,8,81,61,7,78,21,14,71,79,0,78,21,14
17,2/4/2019,70,26,18,74,74,8,77,45,11,71,25,14,76,74,3,82,58,6,77,22,14,70,84,10,77,22,9
18,2/4/2019,66,29,13,72,73,5,75,55,11,69,30,20,74,79,5,79,62,5,72,35,20,68,90,9,71,31,6
19,2/4/2019,56,44,9,69,87,7,72,61,8,67,33,10,69,93,0,76,69,0,66,42,11,68,87,9,67,40,11
20,2/4/2019,57,42,10,69,87,8,71,68,14,66,34,14,70,93,7,72,79,6,64,48,10,64,96,8,65,56,11
21,2/4/2019,51,52,14,69,90,9,69,76,13,65,36,17,71,94,7,70,84,7,62,54,10,66,93,3,63,64,11
22,2/4/2019,46,71,15,68,93,7,68,78,11,64,37,25,70,97,9,69,87,7,61,58,9,64,96,0,61,67,9
23,2/4/2019,43,76,13,69,93,8,67,81,9,63,40,22,70,97,8,68,87,6,59,60,8,67,93,6,59,66,8
24,2/4/2019,41,79,15,69,90,9,66,84,13,62,43,22,70,100,13,66,93,5,58,62,11,67,97,8,56,69,9
1,2/5/2019,41,79,15,69,87,5,66,84,13,61,46,15,70,100,13,66,93,6,58,62,11,67,97,6,55,70,9
2,2/5/2019,38,86,15,69,90,8,63,93,9,60,47,15,69,100,7,66,96,7,59,67,14,66,100,7,55,72,10
3,2/5/2019,39,86,10,69,90,6,64,93,7,58,53,13,69,100,3,68,93,9,57,72,10,66,100,3,56,79,9
4,2/5/2019,41,73,10,68,93,3,63,93,8,58,56,15,69,100,5,68,96,9,57,72,10,66,96,0,55,86,10
5,2/5/2019,41,70,11,68,93,5,63,97,6,58,56,15,69,100,5,68,96,10,54,80,6,66,100,0,54,92,9
6,2/5/2019,45,66,13,68,90,3,62,96,6,58,56,15,69,100,5,68,96,9,53,80,6,66,100,5,56,81,13
7,2/5/2019,47,59,13,68,93,9,61,97,3,58,56,14,69,96,3,68,96,10,49,90,5,67,97,5,53,92,11
8,2/5/2019,43,68,10,68,96,8,60,96,6,59,54,16,68,100,6,69,93,8,50,86,5,67,93,10,54,100,13
9,2/5/2019,45,66,7,69,93,7,65,93,7,60,52,11,69,100,9,70,90,8,52,89,5,67,93,10,60,87,17
10,2/5/2019,50,59,10,69,93,13,70,79,17,61,50,21,71,94,8,71,87,15,59,72,8,68,90,11,62,79,16
11,2/5/2019,60,42,17,72,84,13,73,66,24,64,41,22,72,91,7,74,79,8,65,56,9,68,90,13,68,60,21
12,2/5/2019,66,36,20,71,79,7,73,69,20,64,41,23,73,87,8,78,71,11,70,44,9,69,90,9,69,54,18
13,2/5/2019,69,32,22,75,74,15,75,62,22,64,41,18,75,84,7,82,63,14,72,40,11,71,81,10,73,48,14
14,2/5/2019,67,33,23,76,69,16,77,58,25,64,41,17,75,84,8,82,63,10,72,37,13,74,74,10,75,42,15
15,2/5/2019,67,33,25,78,64,18,76,60,20,65,40,15,76,82,10,81,62,13,74,32,14,74,71,10,76,33,15
16,2/5/2019,66,36,17,77,66,16,76,60,21,65,40,14,76,79,11,80,64,15,74,31,14,75,69,9,76,30,14
17,2/5/2019,65,39,13,76,72,11,74,64,18,64,38,22,76,79,11,80,62,13,76,26,15,74,74,11,76,30,13
18,2/5/2019,64,38,13,74,71,8,73,66,10,63,40,15,75,76,10,78,64,9,72,30,7,72,82,10,71,36,0
19,2/5/2019,62,41,14,72,84,9,72,68,15,61,46,20,73,81,9,75,71,8,67,35,6,69,90,8,70,38,7
20,2/5/2019,59,44,11,71,87,7,71,71,11,58,65,17,72,87,10,73,76,6,64,38,6,67,91,6,67,45,9
21,2/5/2019,57,45,15,71,87,9,69,76,8,54,83,6,71,94,10,72,79,8,64,38,5,68,90,8,69,41,8
22,2/5/2019,55,45,10,71,87,9,69,78,14,55,74,9,71,94,11,71,84,8,66,34,7,69,93,8,64,54,9
23,2/5/2019,52,49,6,70,90,11,69,81,14,54,75,8,71,94,9,71,87,9,63,40,6,69,93,9,65,57,9
24,2/5/2019,50,52,8,70,87,11,69,84,17,54,75,11,71,96,9,71,87,10,63,40,9,68,93,9,65,63,14
1,2/6/2019,50,52,8,70,84,3,69,84,17,54,75,9,71,96,9,70,90,10,63,40,9,67,93,10,66,67,14
2,2/6/2019,50,57,7,69,93,8,69,84,15,53,77,7,71,96,11,69,93,9,61,48,7,67,93,6,64,75,11
3,2/6/2019,52,55,14,70,90,7,69,84,13,53,77,8,71,100,9,69,93,8,59,67,8,68,93,8,64,72,13
4,2/6/2019,51,56,14,70,90,9,69,87,11,53,80,8,72,94,15,68,96,9,59,78,6,67,97,5,63,82,8
5,2/6/2019,48,63,8,70,90,11,68,90,9,53,74,9,72,97,14,69,93,10,60,84,6,67,97,5,60,93,8
6,2/6/2019,46,66,7,69,90,3,68,90,11,52,77,9,72,97,8,69,93,11,56,93,0,68,93,7,62,100,8
7,2/6/2019,44,71,8,69,96,9,68,90,7,51,86,10,72,97,7,69,93,9,55,93,5,68,96,8,63,100,7
8,2/6/2019,44,73,5,70,93,10,68,90,10,51,86,8,72,94,8,69,93,10,60,78,7,69,93,6,62,100,8
9,2/6/2019,46,71,7,70,93,13,69,87,14,53,80,8,73,87,11,70,90,15,61,67,10,69,93,8,65,92,13
10,2/6/2019,51,64,11,71,94,14,69,87,11,54,72,16,74,85,10,73,84,13,63,58,9,69,93,8,68,73,13
11,2/6/2019,56,53,17,73,87,18,71,81,14,57,62,17,76,74,15,75,79,11,68,44,16,70,90,9,68,69,13
12,2/6/2019,59,46,17,72,82,7,73,76,18,60,50,20,78,69,13,77,77,11,73,35,25,71,87,8,71,60,15
13,2/6/2019,68,26,30,74,82,15,76,69,18,62,44,10,80,64,10,79,69,10,76,30,23,72,84,13,73,46,23
14,2/6/2019,68,30,23,75,79,15,75,69,11,65,25,33,80,64,11,81,65,11,76,29,20,73,81,9,75,40,18
15,2/6/2019,68,31,23,76,77,20,76,69,15,64,25,32,80,64,11,82,63,8,77,26,22,75,76,9,74,40,21
16,2/6/2019,69,22,30,77,74,13,77,62,18,63,25,41,79,72,15,82,63,14,79,24,22,75,76,13,74,36,16
17,2/6/2019,68,22,37,76,77,13,75,71,20,60,27,36,78,69,11,81,62,16,76,25,13,75,76,15,75,37,22
18,2/6/2019,65,26,26,74,76,7,73,76,21,54,42,24,76,77,11,79,67,13,72,37,23,75,74,15,72,42,15
19,2/6/2019,60,28,21,74,79,10,73,76,18,49,46,23,74,88,14,77,71,8,66,52,8,74,76,9,69,49,11
20,2/6/2019,57,30,14,74,79,10,72,79,16,46,51,20,74,88,10,74,76,7,67,44,8,73,79,8,64,60,6
21,2/6/2019,54,35,23,73,81,14,72,79,18,46,51,15,73,94,11,74,79,11,63,47,7,71,87,14,65,66,10
22,2/6/2019,48,44,11,72,84,13,71,81,15,45,52,17,73,94,13,74,82,15,62,40,7,71,84,11,64,70,10
23,2/6/2019,29,82,23,71,87,11,71,79,18,44,51,22,73,94,13,74,79,21,62,31,7,70,87,15,61,78,14
24,2/6/2019,24,91,20,71,87,14,71,79,18,43,47,17,73,90,14,73,81,10,58,33,5,69,90,9,63,73,16
1,2/7/2019,24,91,20,70,84,0,71,79,18,41,47,15,73,90,14,72,87,9,58,33,5,69,90,11,63,74,16
2,2/7/2019,19,92,21,73,84,16,71,79,21,41,45,15,73,87,13,71,87,6,51,44,7,69,93,9,61,49,15
3,2/7/2019,19,88,18,73,81,24,71,81,24,40,45,18,73,87,8,69,93,7,51,43,18,69,93,13,56,39,14
4,2/7/2019,18,88,17,72,87,24,71,81,14,39,45,11,73,87,8,70,90,10,50,43,28,70,90,9,54,39,16
5,2/7/2019,18,88,14,73,84,14,63,83,14,38,44,9,72,91,8,70,90,9,49,36,25,70,90,5,50,40,16
6,2/7/2019,17,84,14,72,82,5,47,90,22,37,42,14,72,91,9,70,90,10,48,34,18,70,90,3,45,44,8
7,2/7/2019,17,80,15,73,84,5,42,89,23,37,41,9,71,94,21,69,93,8,45,37,17,69,93,5,39,100,9
8,2/7/2019,17,77,14,67,63,14,38,86,28,38,37,13,71,94,13,69,93,7,39,48,8,70,90,3,37,100,11
9,2/7/2019,18,74,14,63,75,7,36,86,25,40,32,20,73,87,11,71,90,7,44,43,15,66,50,14,37,92,11
10,2/7/2019,18,71,16,64,65,8,36,82,24,42,25,14,74,85,11,72,87,0,47,25,22,65,43,15,37,79,8
11,2/7/2019,19,65,14,66,52,13,35,78,18,45,20,11,75,79,10,76,77,8,49,22,20,65,33,11,,,
12,2/7/2019,22,57,15,62,50,10,34,75,16,47,17,6,60,93,23,79,67,14,52,20,14,65,31,20,44,51,10
13,2/7/2019,23,53,14,62,41,16,35,70,23,48,16,7,60,90,10,79,36,24,55,19,13,66,32,17,45,46,8
14,2/7/2019,26,44,14,60,42,21,37,65,20,49,16,6,61,87,16,80,30,23,56,17,11,66,32,17,47,41,10
15,2/7/2019,28,41,8,58,48,18,39,57,21,49,16,3,60,65,22,80,29,23,55,17,8,66,30,20,45,41,13
16,2/7/2019,29,39,3,56,44,21,40,53,21,51,15,6,59,60,22,79,28,22,57,15,10,64,30,17,44,41,14
17,2/7/2019,30,38,7,53,51,18,38,55,18,51,14,0,57,58,20,75,27,18,56,15,10,60,30,17,42,42,15
18,2/7/2019,27,43,9,49,46,11,36,55,16,47,18,6,54,59,17,71,29,20,53,16,9,55,35,16,38,47,11
19,2/7/2019,22,48,7,48,52,21,35,54,14,43,27,5,51,66,16,68,32,13,44,23,7,53,34,14,35,53,14
20,2/7/2019,22,50,9,45,58,20,34,54,15,41,30,3,50,59,16,65,37,15,41,25,8,50,44,16,33,58,13
21,2/7/2019,20,52,10,44,55,16,33,56,18,41,24,11,47,63,15,61,39,17,40,27,10,48,48,13,31,61,13
22,2/7/2019,18,54,10,43,53,23,31,59,17,38,25,11,47,63,16,58,48,20,37,52,20,46,44,17,30,66,10
23,2/7/2019,15,59,11,41,53,18,30,61,13,38,25,10,45,66,17,56,47,17,34,56,15,44,49,15,28,67,9
24,2/7/2019,14,61,10,40,55,21,29,61,15,37,27,7,44,63,16,54,43,20,32,61,14,43,53,13,27,70,9
1,2/8/2019,14,61,10,39,55,6,29,61,15,34,35,8,44,63,16,52,40,17,32,61,14,42,49,18,27,73,9
2,2/8/2019,12,67,6,38,55,22,26,66,11,33,36,7,42,71,18,50,43,14,29,66,13,40,58,18,26,74,10
3,2/8/2019,10,69,6,38,55,21,25,69,11,33,33,11,41,67,21,50,39,16,28,66,10,39,50,22,,,
4,2/8/2019,11,70,8,37,57,16,24,65,13,32,30,13,40,60,13,49,43,14,27,69,11,38,52,16,23,77,13
5,2/8/2019,10,69,6,37,52,16,24,60,15,32,30,13,38,65,17,48,42,9,26,71,14,37,54,11,22,81,11
6,2/8/2019,9,70,8,35,50,9,23,63,13,32,29,11,38,65,21,47,46,9,25,69,10,38,52,10,21,83,9
7,2/8/2019,8,73,5,35,54,20,23,60,21,31,30,11,38,65,18,46,44,11,24,68,15,37,54,8,20,81,11
8,2/8/2019,9,73,8,35,57,16,23,60,14,33,30,10,38,65,15,45,42,13,23,68,11,38,48,8,20,81,11
9,2/8/2019,13,70,10,35,59,17,25,55,14,39,28,8,38,62,17,45,42,13,25,63,15,38,48,7,22,68,13
10,2/8/2019,18,57,11,34,54,18,26,53,13,42,29,8,39,60,15,45,42,14,27,55,11,38,48,16,24,58,13
11,2/8/2019,22,44,15,35,52,21,29,47,13,46,29,5,40,58,14,45,48,10,31,47,14,37,54,11,27,52,5
12,2/8/2019,27,34,17,34,50,8,31,45,10,49,27,13,42,53,15,46,44,13,34,42,15,39,48,13,29,50,7
13,2/8/2019,31,30,20,36,55,18,32,47,11,50,28,10,43,51,16,,,,33,45,15,,,,,,
14,2/8/2019,35,24,22,39,48,16,34,44,9,52,27,9,41,62,16,46,42,10,36,39,17,40,49,11,32,45,7
15,2/8/2019,37,22,21,38,51,17,34,46,11,55,25,11,42,53,14,46,40,9,36,35,16,40,45,11,32,45,9
16,2/8/2019,38,23,25,36,59,14,35,48,10,55,25,13,42,51,15,46,44,8,36,39,16,40,45,13,35,40,10
17,2/8/2019,36,21,23,36,57,17,36,46,7,53,28,13,42,53,16,45,39,13,35,42,13,40,47,14,35,41,8
18,2/8/2019,33,25,18,35,57,9,36,48,7,49,33,13,39,65,16,44,43,10,34,44,16,39,45,11,34,44,7
19,2/8/2019,30,29,17,36,57,17,36,46,7,45,37,8,39,65,16,44,45,11,34,42,11,37,52,11,33,45,10
20,2/8/2019,27,34,17,37,59,16,36,46,7,43,40,5,38,73,16,43,49,13,33,49,13,37,50,9,34,43,7
21,2/8/2019,25,39,13,37,62,14,35,48,7,41,43,5,37,70,15,42,49,10,31,52,9,38,48,8,33,46,8
22,2/8/2019,27,37,16,36,62,17,36,44,6,40,45,5,37,70,16,40,55,10,30,56,8,38,51,10,34,48,8
23,2/8/2019,25,37,13,36,64,16,35,50,3,39,46,7,37,67,14,39,62,10,29,58,9,38,52,13,33,51,7
24,2/8/2019,24,38,10,35,67,17,36,46,10,38,48,8,37,70,15,38,68,9,31,56,10,38,57,9,33,52,6
1,2/9/2019,24,38,10,34,70,9,36,46,10,36,48,8,37,70,15,39,60,7,31,56,10,38,55,10,34,53,0
2,2/9/2019,23,44,15,35,72,17,34,52,8,36,50,7,38,70,11,39,62,7,30,58,11,38,55,9,34,59,0
3,2/9/2019,21,50,13,35,72,16,35,52,7,37,46,6,38,70,14,39,62,5,30,61,7,38,57,7,34,59,3
4,2/9/2019,22,50,13,35,76,14,35,54,7,37,46,3,38,70,13,40,55,9,30,61,8,36,70,8,33,65,7
5,2/9/2019,21,54,14,36,73,13,35,54,8,36,50,7,38,70,13,39,57,7,31,61,11,35,82,6,33,71,7
6,2/9/2019,20,57,17,34,79,5,35,57,10,35,54,7,38,73,11,39,57,8,32,59,13,34,89,8,33,69,8
7,2/9/2019,20,60,16,36,82,10,35,59,9,35,54,6,38,73,10,39,57,9,32,61,11,35,85,9,33,68,6
8,2/9/2019,20,62,7,35,89,10,36,55,7,35,54,6,39,70,11,39,57,7,32,64,14,35,85,9,33,66,5
9,2/9/2019,22,60,7,36,89,11,37,50,7,39,46,7,39,73,9,40,58,3,32,64,15,35,85,10,34,64,6
10,2/9/2019,28,56,20,37,86,10,37,50,7,44,40,6,40,70,11,41,55,6,33,64,14,36,86,8,36,60,7
11,2/9/2019,32,47,18,38,86,13,38,48,3,47,36,5,41,70,13,41,62,5,35,61,16,36,89,7,38,61,8
12,2/9/2019,35,44,17,38,76,3,38,55,7,51,32,6,43,65,7,40,73,9,36,62,14,36,89,9,40,62,6
13,2/9/2019,40,38,18,39,82,8,36,73,5,52,32,6,43,63,6,42,68,6,36,67,13,37,86,8,40,64,9
14,2/9/2019,40,40,23,40,79,8,35,82,7,56,29,0,44,60,6,43,68,7,37,67,13,38,86,7,40,69,8
15,2/9/2019,40,43,24,41,76,8,35,85,7,58,28,7,44,63,5,43,74,7,38,70,17,39,86,5,40,73,14
16,2/9/2019,40,45,29,41,76,9,34,92,8,58,28,3,44,65,5,43,80,7,39,70,13,40,83,7,40,69,13
17,2/9/2019,38,57,24,41,79,8,34,92,6,59,28,3,45,63,10,43,80,7,38,76,14,40,86,7,39,75,13
18,2/9/2019,38,60,20,38,86,3,35,85,3,57,30,7,44,68,11,42,82,8,39,79,11,39,93,6,38,77,11
19,2/9/2019,36,62,29,39,89,9,34,92,7,55,31,6,44,68,9,41,93,6,38,83,13,39,93,6,37,77,14
20,2/9/2019,36,64,25,39,89,9,34,92,9,53,34,0,44,71,9,41,93,6,38,83,11,38,93,6,36,80,10
21,2/9/2019,35,72,22,40,86,8,35,96,5,51,36,3,44,73,8,41,96,5,38,83,11,38,97,5,36,83,14
22,2/9/2019,33,78,18,39,93,7,35,96,8,51,36,5,43,76,10,41,96,6,37,86,8,38,93,6,36,87,8
23,2/9/2019,32,82,18,40,89,6,35,93,10,48,42,6,44,73,8,41,96,7,37,86,8,38,93,7,36,91,9
24,2/9/2019,32,88,20,39,93,6,35,93,9,48,42,6,44,73,9,41,96,7,38,86,11,38,97,6,36,95,8
1,2/10/2019,32,88,20,38,93,0,35,93,9,46,46,3,44,73,9,41,96,7,38,86,11,38,97,7,36,100,9
1,2/10/2019,33,85,20,38,93,0,35,93,9,46,46,3,44,73,9,41,96,7,38,86,11,38,97,7,36,100,9
1,2/10/2019,32,88,20,38,93,0,35,93,9,46,46,3,44,73,9,41,96,7,38,86,11,38,97,7,36,100,9
1,2/10/2019,33,85,20,38,93,0,35,93,9,46,46,3,44,73,9,41,96,7,38,86,11,38,97,7,36,100,9
2,2/10/2019,33,85,24,39,93,7,35,93,13,46,46,6,45,74,6,41,96,7,38,89,9,38,97,5,36,100,5
3,2/10/2019,33,85,22,39,93,7,35,96,0,45,48,5,45,74,8,41,96,6,38,86,13,38,97,6,36,100,7
4,2/10/2019,33,85,16,39,93,5,35,96,5,46,46,3,45,77,9,41,96,3,38,86,10,39,93,3,36,100,8
5,2/10/2019,33,82,17,39,93,7,36,97,5,45,48,7,46,77,7,41,96,6,38,86,9,39,96,5,36,100,9
6,2/10/2019,33,82,18,39,93,3,36,97,5,45,48,6,47,77,9,41,96,8,37,89,8,40,93,6,37,100,7
7,2/10/2019,34,82,14,40,93,6,36,97,6,44,47,3,48,77,8,41,96,8,38,89,8,40,93,3,37,100,8
8,2/10/2019,33,82,13,41,89,8,37,93,6,46,46,6,50,80,8,42,92,7,38,93,6,41,93,7,38,100,0
9,2/10/2019,36,73,13,41,89,10,37,96,7,48,42,0,52,80,8,43,93,6,39,89,10,41,96,7,39,100,11
10,2/10/2019,41,60,16,42,89,8,39,93,7,48,44,3,54,80,8,44,93,6,40,89,6,42,96,5,42,100,14
11,2/10/2019,47,48,17,43,86,8,39,96,7,49,52,6,58,78,6,45,93,5,42,82,8,44,93,6,43,90,11
12,2/10/2019,55,35,13,43,86,5,41,93,5,56,46,8,64,73,14,47,90,6,42,82,9,45,93,3,44,93,13
13,2/10/2019,57,33,10,45,86,6,41,96,3,57,44,10,64,81,9,48,86,0,44,76,0,46,93,5,45,91,11
14,2/10/2019,57,33,10,45,93,5,42,92,6,57,42,6,66,81,10,50,83,0,47,69,16,47,93,6,46,87,10
15,2/10/2019,56,37,13,46,89,3,42,96,0,57,42,5,69,76,11,52,80,0,49,66,8,48,96,5,49,83,10
16,2/10/2019,54,40,15,46,93,3,42,96,5,57,47,7,66,81,15,53,77,,50,63,8,50,89,3,50,79,8
17,2/10/2019,54,40,11,46,93,5,42,100,5,54,53,5,64,90,11,53,80,7,53,59,13,50,93,5,49,97,11
18,2/10/2019,50,48,17,47,90,0,42,100,7,54,53,3,63,97,11,52,83,8,51,66,6,50,93,8,48,100,5
19,2/10/2019,48,54,15,47,93,5,43,97,6,52,61,0,63,97,8,52,83,7,50,66,3,49,97,5,48,100,8
20,2/10/2019,44,63,16,47,93,6,43,97,8,51,64,0,62,100,6,52,86,6,49,69,6,,,,47,100,11
21,2/10/2019,42,76,17,47,93,6,43,97,7,49,66,7,63,97,8,52,86,5,47,80,6,49,93,3,48,100,14
22,2/10/2019,43,71,14,47,93,6,43,97,3,49,66,0,63,97,9,52,86,6,46,89,8,49,97,3,48,100,11
23,2/10/2019,43,68,13,48,93,0,44,93,3,48,68,3,63,100,6,52,86,6,45,97,6,50,96,0,48,100,10
24,2/10/2019,44,71,11,49,93,0,44,96,6,48,71,0,64,100,13,51,92,0,45,93,5,50,93,0,48,100,13
1,2/11/2019,44,71,11,47,93,0,44,96,6,48,74,0,64,100,13,51,92,3,45,93,5,51,96,7,49,100,11
2,2/11/2019,42,76,16,49,90,3,45,97,5,47,77,3,64,100,8,51,96,6,46,89,6,51,96,0,48,100,13
3,2/11/2019,42,76,16,50,93,8,45,97,7,47,77,0,64,100,9,51,96,3,44,89,9,52,93,3,49,100,9
4,2/11/2019,40,83,15,51,92,0,45,97,0,46,79,0,64,100,7,52,93,3,44,89,9,52,93,3,47,100,15
5,2/11/2019,37,86,10,51,92,7,45,97,3,47,80,6,65,100,8,52,97,3,45,90,7,52,93,6,45,100,10
6,2/11/2019,33,89,11,50,93,3,46,96,5,48,74,6,65,100,5,52,97,3,45,90,8,53,89,0,45,100,9
7,2/11/2019,35,85,15,51,92,7,46,100,10,50,61,13,66,100,9,52,97,0,45,90,8,52,93,3,45,100,6
8,2/11/2019,36,79,11,53,89,6,48,96,13,51,54,14,66,100,6,53,93,3,47,86,11,53,93,3,47,97,11
9,2/11/2019,40,73,15,55,90,8,50,96,13,50,59,15,67,100,8,53,96,,49,86,10,53,96,5,49,89,15
10,2/11/2019,47,54,17,57,90,6,50,100,11,53,47,20,70,93,9,55,93,0,51,89,5,54,97,5,50,94,14
11,2/11/2019,56,36,22,60,84,6,52,97,10,56,34,31,70,87,8,58,90,7,54,83,17,55,93,5,50,100,9
13,2/11/2019,57,33,20,63,84,0,58,90,11,58,21,21,75,71,10,63,78,0,56,75,16,58,93,3,53,99,14
14,2/11/2019,62,23,22,63,84,3,58,90,14,58,18,32,71,87,11,66,73,5,56,75,17,59,90,5,54,94,18
15,2/11/2019,53,40,29,63,84,6,58,90,14,59,15,29,70,97,8,67,71,15,56,75,17,58,93,3,56,82,21
16,2/11/2019,57,25,24,63,87,5,58,93,14,58,18,30,71,96,8,65,73,14,62,56,21,59,90,3,56,84,17
17,2/11/2019,53,21,26,63,87,7,58,93,13,56,21,22,69,100,8,64,75,14,66,26,31,59,90,5,57,73,18
18,2/11/2019,51,24,25,60,90,0,57,93,14,54,21,17,70,97,8,63,78,10,64,20,31,59,90,3,56,77,18
19,2/11/2019,48,23,16,60,93,3,56,93,7,52,21,13,70,97,6,60,84,10,58,18,16,58,93,0,54,82,17
20,2/11/2019,45,42,20,61,93,3,56,93,7,49,21,8,70,97,8,59,87,8,53,15,18,58,90,8,52,41,11
21,2/11/2019,41,57,17,60,93,5,54,97,9,48,18,13,70,97,6,58,90,6,50,17,17,57,93,3,49,33,15
22,2/11/2019,38,68,22,61,87,6,55,93,9,45,21,11,69,96,7,58,90,3,48,18,13,57,90,6,46,37,17
23,2/11/2019,33,72,16,57,93,5,57,87,16,44,19,9,68,100,6,57,93,11,47,20,16,56,93,10,47,36,18
24,2/11/2019,31,79,10,58,93,6,56,72,15,40,23,9,68,100,9,57,93,0,45,23,18,56,90,8,46,37,17
12,2/11/2019,60,32,24,59,90,0,55,93,9,,,,73,79,10,61,81,8,,,,57,90,6,52,100,10
1,2/12/2019,31,79,10,57,93,0,56,72,15,40,23,11,68,100,9,56,93,5,45,23,18,56,90,7,46,36,17
2,2/12/2019,27,85,7,59,64,5,53,40,21,39,25,10,65,97,6,55,96,3,44,31,17,54,90,0,46,40,13
3,2/12/2019,27,85,8,57,55,3,50,63,22,38,29,15,64,93,8,55,93,10,42,36,16,54,77,3,41,71,9
4,2/12/2019,24,84,6,57,44,5,49,74,31,35,32,13,63,81,11,56,84,9,40,47,14,51,77,7,40,67,13
5,2/12/2019,24,81,9,54,45,5,46,73,26,33,35,10,61,78,9,55,87,9,37,59,11,49,66,6,36,73,9
6,2/12/2019,24,84,7,49,56,7,44,76,23,32,36,11,60,67,11,56,77,11,34,67,8,48,54,13,34,73,10
7,2/12/2019,22,89,8,51,59,11,42,73,30,32,38,11,59,56,11,55,69,14,31,69,3,48,54,11,33,72,9
8,2/12/2019,24,81,6,50,66,11,41,76,21,36,34,10,57,58,11,52,69,10,28,75,6,48,61,14,35,69,7
9,2/12/2019,30,82,5,52,69,11,43,71,17,41,28,10,59,62,20,54,55,11,36,67,7,51,59,20,41,54,9
10,2/12/2019,36,59,9,55,62,10,45,61,17,44,25,11,58,65,16,56,51,,42,53,8,54,53,16,43,44,7
11,2/12/2019,42,36,8,59,46,15,48,54,17,47,22,9,60,60,16,60,44,9,46,38,5,58,39,16,46,38,7
12,2/12/2019,47,28,13,61,32,14,50,46,15,50,19,8,62,52,16,63,35,9,49,32,0,62,31,14,49,34,8
13,2/12/2019,52,22,16,63,28,25,52,41,15,53,13,3,64,46,14,66,30,10,51,28,3,63,30,10,51,30,6
14,2/12/2019,54,18,15,64,29,17,55,34,20,55,12,5,65,39,15,67,27,10,54,24,6,65,26,9,54,22,7
15,2/12/2019,56,16,18,65,28,15,56,33,15,57,10,0,65,37,10,68,25,7,55,22,5,65,24,15,55,24,3
16,2/12/2019,58,12,18,65,25,15,57,33,10,56,9,0,66,30,9,68,23,8,57,22,8,65,24,9,56,23,0
17,2/12/2019,57,13,20,64,27,9,56,33,11,56,9,0,63,37,13,67,23,6,56,24,6,65,26,10,56,22,0
18,2/12/2019,55,12,14,60,28,5,54,37,6,53,10,0,61,36,10,65,29,3,56,24,9,61,26,10,55,24,0
19,2/12/2019,48,16,14,54,42,6,50,41,0,50,11,5,57,45,8,61,36,3,51,29,7,57,32,5,51,30,5
20,2/12/2019,44,19,14,45,63,3,50,43,0,48,15,3,55,49,8,59,39,7,46,38,8,53,41,0,43,54,8
